"station_id","song","genre"
"radiozurnal","TOM WALKER - MY WAY","electronic"
"radiozurnal","BEAUTIFUL SOUTH - ROTTERDAM OR ANYWHERE","pop"
"radiozurnal","HALSEY - COLORS","pop"
"radiozurnal","CHRIS REA - JOSEPHINE","rock"
"radiozurnal","IVAN KRÁL - MÁM TVŮJ STÍN","other"
"radiozurnal","CREEDENCE CLEARWATER REVIVAL - DOWN ON THE CORNER","rock"
"radiozurnal","SHAWN HOOK,  VANESSA HUDGENS - REMINDING ME","other"
"radiozurnal","TEARS FOR FEARS - SHOUT","pop"
"radiozurnal","LAKE MALAWI - PARIS","pop"
"radiozurnal","AQUA - TURN BACK TIME","pop"
"radiozurnal","SUPPORT LESBIENS - MÁJ","pop"
"radiozurnal","BONNIE TYLER - BITTERBLUE","pop"
"radiozurnal","CHRIS ISAAK - WICKED GAME","pop"
"radiozurnal","BASTILLE - POMPEII","electronic"
"radiozurnal","FALCO - OUT OF THE DARK","pop"
"radiozurnal","P!NK - WHAT ABOUT US","pop"
"radiozurnal","OCEÁN - PRÁZDNÁ ULICE","pop"
"radiozurnal","LAURA BRANIGAN - SELF CONTROL","pop"
"radiozurnal","CELINE DION - FALLING INTO YOU","pop"
"radiozurnal","AVICII,  SANDRO CAVAZZA - WITHOUT YOU","other"
"radiozurnal","TOMÁŠ KLUS - POCITY","other"
"radiozurnal","EAST 17 - STAY ANOTHER DAY","pop"
"radiozurnal","IMAGINE DRAGONS - DEMONS","pop"
"radiozurnal","BOYZONE - LOVE ME FOR A REASON","pop"
"radiozurnal","MŇÁGA A ŽĎORP - PÍSNIČKA PRO TEBE!","pop"
"radiozurnal","SELENA GOMEZ - BACK TO YOU","pop"
"radiozurnal","DANDY WARHOLS - BOHEMIAN LIKE YOU","pop"
"radiozurnal","CAPITAL CITIES - ONE MINUTE MORE","pop"
"radiozurnal","STEVIE WONDER - PART-TIME LOVER","pop"
"radiozurnal","MOODY BLUES - NIGHTS IN WHITE SATIN","rock"
"radiozurnal","DIDO - HUNTER","pop"
"radiozurnal","RAF - CONTROSENSO","pop"
"radiozurnal","ESPEN LIND - WHEN SUSANNAH CRIES","pop"
"radiozurnal","NIALL HORAN - ON THE LOOSE","pop"
"radiozurnal","ONE MORE TIME - HIGHLAND","pop"
"radiozurnal","VLADIMÍR MIŠÍK - VARIACE NA RENESANČNÍ TÉMA","rock"
"radiozurnal","FOSTER THE PEOPLE - SIT NEXT TO ME","pop"
"radiozurnal","F.R. DAVID - WORDS","pop"
"radiozurnal","TAKE THAT - PATIENCE","pop"
"radiozurnal","VANESSA WILLIAMS - SAVE THE BEST FOR THE LAST","pop"
"radiozurnal","KRYŠTOF - COSMOSHOP","pop"
"radiozurnal","R.E.M. - MAN ON THE MOON","rock"
"radiozurnal","MADONNA - AMERICAN PIE","pop"
"radiozurnal","BEATLES - HERE COMES THE SUN","rock"
"radiozurnal","FLORENCE,  THE MACHINE - SHIP TO WRECK","other"
"radiozurnal","PIERRE COSSO, BONNIE BIANCO - STAY","other"
"radiozurnal","ALANIS MORISSETTE - YOU LEARN","pop"
"radiozurnal","CAT STEVENS - MORNING HAS BROKEN","rock"
"radiozurnal","ED SHEERAN - THINKING OUT LOUD","other"
