"station_id","song","genre","dead"
"radiozurnal","FOSTER THE PEOPLE - SIT NEXT TO ME","pop",2
"radiozurnal","F.R. DAVID - WORDS","pop",1
"radiozurnal","TAKE THAT - PATIENCE","pop",2
"radiozurnal","VANESSA WILLIAMS - SAVE THE BEST FOR THE LAST","pop",1
"radiozurnal","KRYŠTOF - COSMOSHOP","pop",2
"radiozurnal","R.E.M. - MAN ON THE MOON","rock",2
"radiozurnal","MADONNA - AMERICAN PIE","pop",1
"radiozurnal","BEATLES - HERE COMES THE SUN","rock",2
"radiozurnal","FLORENCE,  THE MACHINE - SHIP TO WRECK","other",2
"radiozurnal","PIERRE COSSO, BONNIE BIANCO - STAY","other",2
"radiozurnal","ALANIS MORISSETTE - YOU LEARN","pop",1
"radiozurnal","CAT STEVENS - MORNING HAS BROKEN","rock",1
"radiozurnal","ED SHEERAN - THINKING OUT LOUD","other",1
"radiozurnal","IVA FRÜHLINGOVÁ - OU TU VEUX QUAND TU VEUX","pop",1
"radiozurnal","BELOVED - SWEET HARMONY","*core",2
"radiozurnal","MIRAI - CHCI TANČIT","pop",2
"radiozurnal","ROXETTE - DANGEROUS","pop",2
"radiozurnal","SUGABABES - ABOUT YOU NOW","pop",2
"radiozurnal","BEYONCÉ - IF I WERE A BOY","pop",1
"radiozurnal","SOUL ASYLUM - RUNAWAY TRAIN","rock",2
"radiozurnal","SCORPIONS - YOU AND I","rock",2
"radiozurnal","ANETA LANGEROVÁ - STAČILO ŘÍCT","pop",1
"radiozurnal","EDWYN COLLINS - A GIRL LIKE YOU","pop",1
"radiozurnal","A-HA - TAKE ON ME","pop",2
"radiozurnal","SONIQUE - ALIVE","pop",2
"radiozurnal","MANS ZELMERLÖW - FIRE IN THE RAIN","pop",1
"radiozurnal","CORRS - RADIO","pop",2
"radiozurnal","CRANBERRIES - ZOMBIE","rock",2
"radiozurnal","O5 & RADEČEK,  MARIA ČÍROVÁ - VLOUPÁM SE","other",2
"radiozurnal","SUNRISE AVENUE - HOLLYWOOD HILLS","pop",2
"radiozurnal","QUEEN - FRIENDS WILL BE FRIENDS","rock",2
"radiozurnal","HARRY STYLES - SIGN OF THE TIMES","pop",1
"radiozurnal","BRYAN ADAMS - SOMEBODY","pop",1
"radiozurnal","DIVOKEJ BILL - BATALION","rock",2
"radiozurnal","ANNA K. - MOUDŘEJŠÍ NEŽ NOC","pop",1
"radiozurnal","BON JOVI - YOU GIVE LOVE A BAD NAME","rock",2
"radiozurnal","REMBRANDTS - JUST THE WAY IT IS, BABY","other",0
"radiozurnal","DEBBI - LA LA","pop",1
"radiozurnal","U 2 - ONE","rock",2
"radiozurnal","NICK JONAS - FIND YOU","pop",1
"radiozurnal","UNIQUE II - BREAK MY STRIDE","pop",2
"radiozurnal","JELEN - MAGDALÉNA","other",2
"radiozurnal","ADELE - ROLLING IN THE DEEP","other",1
"radiozurnal","RICHARD MÜLLER - NEBUDE TO LAHKÉ","pop",1
"radiozurnal","WELSHLY ARMS - SANCTUARY","rock",2
"radiozurnal","BELL BOOK & CANDLE - RESCUE ME","pop",2
"radiozurnal","MICHAL HRŮZA - BUDU TI VYPRÁVĚT","*core",1
"radiozurnal","ELTON JOHN - CIRCLE OF LIFE","pop",1
"radiozurnal","LEWIS CAPALDI - TOUGH","pop",1
"radiozurnal","ROLLING STONES - START ME UP","rock",2
"radiozurnal","SHAYNE WARD - NO PROMISES","pop",1
"radiozurnal","LUCIE - DAL BYCH TI CO CHCEŠ","pop",2
"radiozurnal","OMD - MAID OF ORLEANS","pop",2
"radiozurnal","GWEN STEFANI - COOL","pop",1
"radiozurnal","GENESIS - LAND OF CONFUSION","rock",2
"radiozurnal","PET SHOP BOYS - SUBURBIA","pop",2
"radiozurnal","MIROSLAV ŽBIRKA - FAIR PLAY","other",1
"radiozurnal","NIRVANA - THE MAN WHO SOLD THE WORLD","rock",2
"radiozurnal","CHINASKI - 1970","pop",2
"radiozurnal","STING - ALL THIS TIME","pop",1
"radiozurnal","ALANNAH MYLES - BLACK VELVET","pop",1
"radiozurnal","ED SHEEREN - GALWAY GIRL","other",2
"radiozurnal","SAVAGE GARDEN - TO THE MOON AND BACK","pop",2
"radiozurnal","PINK FLOYD - ANOTHER BRICK IN THE WALL","rock",2
"radiozurnal","KAISER CHIEFS - RUBY","pop",2
"radiozurnal","BUTY - VRÁNA","rock",2
"radiozurnal","ŽENTOUR - TINA","rock",2
"radiozurnal","TINA TURNER - PRIVATE DANCER","pop",1
"radiozurnal","ALVARO SOLER - EL MISMO SOL","pop",1
"radiozurnal","BRUNO MARS - COUNT ON ME","pop",1
"radiozurnal","CRASH TEST DUMMIES - MMM MMM MMM MMM","rock",2
"radiozurnal","XINDL X - DŘEVO","other",1
"radiozurnal","FREDDIE MERCURY - LIVING ON MY OWN","pop",0
"radiozurnal","SARAH CONNOR - FROM SARAH WITH LOVE","pop",1
"radiozurnal","CALLING - WHEREVER YOU WILL GO","rock",2
"radiozurnal","BRUCE SPRINGSTEEN - STREETS OF PHILADELPHIA","rock",1
"radiozurnal","CHRIS REA - ON THE BEACH","rock",1
"radiozurnal","NICKELBACK - PHOTOGRAPH","rock",2
"radiozurnal","SEAL - AMAZING","pop",1
"radiozurnal","WHITNEY HOUSTON,  ENRIQUE IGLESIAS - COULD I HAVE THIS KISS FOREVER","other",2
"radiozurnal","CRANBERRIES - FREE TO DECIDE","rock",2
"radiozurnal","TRAVELING WILBURYS - HANDLE WITH CARE","pop",2
"radiozurnal","ROBBIE WILLIAMS - SUPREME","pop",1
"radiozurnal","ROXETTE - JUNE AFTERNOON","pop",2
"radiozurnal","SUPPORT LESBIENS - OCEAN","pop",2
"radiozurnal","BRYAN ADAMS - RUN TO YOU","pop",1
"radiozurnal","ČECHOMOR - VELICKÉ ZVONY","rock",2
"radiozurnal","R.E.M. - IMITATION OF LIFE","rock",2
"radiozurnal","WANASTOWI VJECY - NAHÁ","rock",2
"radiozurnal","LP - GIRLS GO WILD","pop",2
"radiozurnal","MICHAEL JACKSON - BLACK OR WHITE","pop",0
"radiozurnal","HOOBASTANK - THE REASON","rock",2
"radiozurnal","TOTO - AFRICA","pop",2
"radiozurnal","DIVOKEJ BILL - MALOVÁNÍ","rock",2
"radiozurnal","SCOOTER - BREAK IT UP","electronic",2
"radiozurnal","CHRISTINA AGUILERA - BEAUTIFUL","pop",1
"radiozurnal","ARMIN VAN BUUREN - THIS IS WHAT IT FEELS LIKE","electronic",1
"radiozurnal","PHIL COLLINS - I WISH IT WOULD RAIN DOWN","pop",1
"radiozurnal","COCOMAN,  KÁJA LESKOVEC - STOUPÁM","other",2
"radiozurnal","P!NK - JUST LIKE FIRE","pop",1
"radiozurnal","U 2 - SWEETEST THING","rock",2
"radiozurnal","JAMES BLUNT - WISEMEN","pop",1
"radiozurnal","ELLIE GOULDING - STILL FALLING FOR YOU","pop",1
"radiozurnal","JAM & SPOON - SET ME FREE","electronic",2
"radiozurnal","JENNIFER RUSH - TEARS IN THE RAIN","pop",1
"radiozurnal","KRYŠTOF - NAVIDĚNOU","pop",2
"radiozurnal","MIKE OLDFIELD,  ROGER CHAPMAN - SHADOW ON THE WALL","other",2
"radiozurnal","COLBIE CAILLAT - BUBBLY","pop",1
"radiozurnal","PETR FIALA - MĚSÍC","rock",1
"radiozurnal","CHINASKI,  ZUZANA NORISOVÁ - DOBRÁK OD KOSTI","other",2
"radiozurnal","FREDDIE MERCURY - LOVE KILLS","pop",0
"radiozurnal","2CHOICE,  JAKUB ONDRA - REASONS TO LOVE YOU","other",2
"radiozurnal","BAY CITY ROLLERS - BYE BYE BABY","pop",2
